"","Admitted","Disposition_binary","Place","F_Aid","Species_e","Sex_e","Age_e","Brought_in_after","season","r","Green_Orange","ID"
"4054","1/21/2014","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Winter","window hit","Non-selasphorus spp.","4865_ANHU"
"4055","3/15/2012","Released","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Spring","found on the ground","Non-selasphorus spp.","4387_ANHU"
"4056","8/11/2013","Released","Lindsey","No","Selasphorus","Female-like ","adult-like",0,"Summer","found on the ground","Selasphorus spp.","4804_ALHU"
"4057","6/22/2013","Died","malibu","Yes","Selasphorus","unknown","Nestling",7,"Summer","nest-related","Selasphorus spp.","5862_ALHU"
"4058","3/7/1999","Released","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","1549_ANHU"
"4059","4/8/2013","Died","malibu","No","Selasphorus","Female-like ","adult-like",0,"Spring","unknown","Selasphorus spp.","5770_ALHU"
"4060","5/25/2015","Died","malibu","Yes","Selasphorus","unknown","Nestling",1,"Spring","found on the ground","Selasphorus spp.","6433_ALHU"
"4061","9/29/2016","Died","malibu","Yes","Selasphorus","Female-like ","adult-like",0,"Fall","found on the ground","Selasphorus spp.","6804_ALHU"
"4062","4/26/2014","Died","Lindsey","Yes","Non-selasphorus","unknown","Nestling",0,"Spring","nest-related","Non-selasphorus spp.","4970_ANHU"
"4063","2/21/2007","Died","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Winter","nest-related","Non-selasphorus spp.","3205_ANHU"
"4064","2/21/1993","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Winter","unknown","Non-selasphorus spp.","381_ANHU"
"4065","6/13/1992","Released","Lindsey","Yes","ANHU","Female-like ","adult-like",0,"Summer","found on the ground","Non-selasphorus spp.","316_ANHU"
"4066","7/3/2010","Released","Lindsey","Yes","Non-selasphorus","unknown","Nestling",0,"Summer","nest-related","Non-selasphorus spp.","4016_ANHU"
"4067","5/30/2013","Died","malibu","No","Selasphorus","Female-like ","adult-like",0,"Spring","unknown","Selasphorus spp.","5818_ALHU"
"4068","12/24/2002","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Winter","window hit","Non-selasphorus spp.","2360_ANHU"
"4069","9/14/2008","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",1,"Fall","window hit","Non-selasphorus spp.","3575_ANHU"
"4070","8/14/1992","Died","Lindsey","Yes","BCHU","Female-like ","adult-like",0,"Summer","unknown","Non-selasphorus spp.","357_BCHU"
"4071","11/13/2016","Died","malibu","No","Selasphorus","Female-like ","adult-like",0,"Fall","window hit","Selasphorus spp.","6822_ALHU"
"4072","4/30/2001","Released","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Spring","nest-related","Non-selasphorus spp.","2034_ANHU"
"4073","3/19/2002","Released","Lindsey","Yes","ANHU","Female-like ","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","2178_ANHU"
"4074","2/7/1995","Died","Lindsey","No","ANHU","Female-like ","adult-like",1,"Winter","caught by domestic animal","Non-selasphorus spp.","748_ANHU"
"4075","9/28/1998","Died","Lindsey","No","ANHU","Female-like ","adult-like",1,"Fall","suspect torpor-like state","Non-selasphorus spp.","1505_ANHU"
"4076","4/9/2009","Died","Lindsey","Yes","ANHU","Male","adult-like",1,"Spring","suspect torpor-like state","Non-selasphorus spp.","3685_ANHU"
"4077","3/14/1994","Released","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","suspect torpor-like state","Non-selasphorus spp.","584_ANHU"
"4078","3/3/2007","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","caught by domestic animal","Non-selasphorus spp.","3211_ANHU"
"4079","2/20/1997","Released","Lindsey","No","Non-selasphorus","unknown","Nestling",5,"Winter","found on the ground","Non-selasphorus spp.","1160_ANHU"
"4080","6/28/2016","Released","Santa Barbara","No","Selasphorus","unknown","Nestling",0,"Summer","found on the ground","Selasphorus spp.","6894_ALHU"
"4081","4/7/2015","Released","malibu","No","Selasphorus","Female-like ","adult-like",2,"Spring","unknown","Selasphorus spp.","6526_ALHU"
"4082","1/11/1994","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Winter","caught by domestic animal","Non-selasphorus spp.","564_ANHU"
"4083","2/17/1996","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Winter","caught by domestic animal","Non-selasphorus spp.","953_ANHU"
"4084","2/16/2006","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Winter","found on the ground","Non-selasphorus spp.","3002_ANHU"
"4085","4/9/2014","Died","malibu","No","BCHU","Female-like ","adult-like",0,"Spring","unknown","Non-selasphorus spp.","6087_BCHU"
"4086","2/4/2001","Released","Lindsey","Yes","Non-selasphorus","unknown","Nestling",1,"Winter","nest-related","Non-selasphorus spp.","1949_ANHU"
"4087","4/23/2013","Died","Lindsey","Yes","Selasphorus","Male","adult-like",0,"Spring","found on the ground","Selasphorus spp.","4702_ALHU"
"4088","12/22/2003","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Winter","found on the ground","Non-selasphorus spp.","2584_ANHU"
"4089","4/13/1992","Died","Lindsey","No","ANHU","Female-like ","adult-like",10,"Spring","found on the ground","Non-selasphorus spp.","249_ANHU"
"4090","4/3/2016","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","5563_ANHU"
"4091","5/19/2006","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","3093_ANHU"
"4092","1/29/2004","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",0,"Winter","caught by domestic animal","Non-selasphorus spp.","2597_ANHU"
